City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,chibougamau,49.9168,-74.3659,14.79,72,100,3.09,CA,1714867009
279,myaydo,19.3667,95.2167,28.09,71,0,2.75,MM,1714867009
280,ardakan,32.31,54.0175,19.76,40,2,1.02,IR,1714867009
281,queenstown,-31.8976,26.8753,13.42,49,9,0.43,ZA,1714867010
282,darwin,-12.4611,130.8418,28.99,58,0,6.71,AU,1714866782
283,westport,41.1415,-73.3579,13.69,68,75,3.6,US,1714867010
284,grand falls-windsor,48.9332,-55.6649,1.95,85,14,1.79,CA,1714867010
285,nuku'alofa,-21.1333,-175.2,26.19,83,100,6.17,TO,1714867010
286,masinigudi,11.5667,76.6667,21.97,76,93,2.23,IN,1714867010
287,sanctuary point,-35.1114,150.629,14.62,87,100,2.96,AU,1714867011
288,leo,11.1,-2.1,32.88,35,90,2.55,BF,1714867011
289,port alfred,-33.5906,26.891,17.32,89,92,0.89,ZA,1714866807
290,aussillon,43.5029,2.3679,14.11,82,100,2.18,FR,1714867011
291,hithadhoo,-0.6,73.0833,29.15,78,100,5.34,MV,1714867011
292,princeville,45.7668,-61.2985,7.01,89,100,2.57,CA,1714867011
293,sola,-13.8833,167.55,27.92,80,100,11.14,VU,1714867012
294,labrador city,52.9463,-66.9114,6.95,65,75,3.09,CA,1714866779
295,ta`u,-14.2336,-169.5144,27.79,83,100,9.18,AS,1714867012
296,mount pearl,47.5166,-52.7813,2.3,94,100,6.17,CA,1714866778
297,macenta,8.5435,-9.471,22.98,92,100,1.19,GN,1714867012
298,nikol'sk,53.7189,46.0712,0.46,71,41,3.19,RU,1714867012
299,mezhdurechenskiy,59.6,65.9333,-3.37,95,100,7.61,RU,1714867013
300,huaral,-11.495,-77.2078,21.07,79,77,0.95,PE,1714867013
301,saipan,15.1355,145.701,30.39,70,40,5.14,MP,1714866775
302,ambon,-3.6954,128.1814,31.04,88,40,2.06,ID,1714866865
303,dhidhdhoo,6.8833,73.1,29.5,77,48,4.7,MV,1714867013
304,bielsk podlaski,52.7651,23.1865,14.45,86,100,2.51,PL,1714867013
305,khovd,48.0056,91.6419,12.54,26,73,1.72,MN,1714867013
306,tokar,18.4254,37.729,25.71,57,0,3.06,SD,1714867014
307,priozersk,61.0393,30.1291,6.16,83,54,4.93,RU,1714867014
308,dhulia,20.9,74.7833,30.61,38,61,7.2,IN,1714867014
309,pingzhuang,42.0372,119.2889,16.37,47,95,2.23,CN,1714867014
310,grand-bourg,15.8835,-61.3148,27.97,78,88,6.31,GP,1714867014
311,sept-iles,50.2001,-66.3821,3.92,84,75,0.51,CA,1714867015
312,lauro de freitas,-12.8944,-38.3272,29.01,70,20,4.12,BR,1714867015
313,canutama,-6.5339,-64.3831,27.49,78,94,0.18,BR,1714867015
314,kivioli,59.3531,26.9711,5.38,89,60,3.32,EE,1714867015
315,lysekil,58.2743,11.4358,10.68,88,32,3.55,SE,1714867015
316,lensk,60.7253,114.9278,3.78,88,100,1.03,RU,1714867016
317,madimba,-10.4,40.3333,23.65,94,100,4.22,TZ,1714866873
318,belmonte,-15.8631,-38.8828,24.92,86,10,3.35,BR,1714866826
319,howrah,22.5892,88.3103,30.0,84,75,3.09,IN,1714866902
320,machiques,10.0644,-72.545,25.54,87,100,0.9,VE,1714867016
321,tshabong,-26.05,22.45,18.98,33,0,5.11,BW,1714867016
322,brisas de zicatela,15.8369,-97.0419,28.9,67,17,4.38,MX,1714866810
323,susuman,62.7833,148.1667,-3.34,85,39,0.89,RU,1714867017
324,daru,-9.0763,143.2092,26.93,89,100,7.9,PG,1714866883
325,saldanha,-33.0117,17.9442,15.03,92,17,3.96,ZA,1714867017
326,san andres,12.5847,-81.7006,30.01,66,40,2.57,CO,1714867017
327,mokhsogollokh,61.4681,128.9203,4.01,71,85,0.83,RU,1714867017
328,port douglas,-16.4833,145.4667,25.3,76,100,2.95,AU,1714866904
329,morant bay,17.8815,-76.4093,29.79,86,16,3.69,JM,1714867017
330,moussoro,13.6408,16.4901,32.33,12,0,6.02,TD,1714867018
331,shagonar,51.5333,92.8,10.34,57,99,0.02,RU,1714867018
332,paragominas,-2.9667,-47.4833,23.54,98,94,1.55,BR,1714867018
333,taitung city,22.7583,121.1444,28.15,83,75,1.03,TW,1714867018
334,nadi,-17.8,177.4167,31.0,62,75,4.63,FJ,1714867018
335,uliastay,47.7417,96.8444,7.15,35,14,1.78,MN,1714867019
336,tupiza,-21.45,-65.7167,13.14,13,0,3.54,BO,1714867019
337,selizharovo,56.8519,33.4487,7.52,93,87,3.81,RU,1714867019
338,naifaru,5.4444,73.3657,29.43,79,30,4.69,MV,1714867019
339,iisalmi,63.5592,27.1907,2.74,90,87,2.85,FI,1714867019
340,beaconsfield,45.4334,-73.8659,19.15,80,75,5.66,CA,1714867019
341,kashary,49.04,41.0056,3.35,48,1,1.73,RU,1714867020
342,batticaloa,7.7102,81.6924,27.18,89,88,2.79,LK,1714867020
343,smithers,54.7804,-127.1743,18.18,32,40,2.06,CA,1714866833
344,quang ngai,15.1167,108.8,28.89,60,96,1.77,VN,1714867020
345,keflavik,64.0049,-22.5624,4.95,93,100,6.69,IS,1714867020
346,yeed,4.55,43.0333,24.46,86,100,3.62,SO,1714867020
347,san buenaventura,27.0833,-101.5333,33.37,44,56,4.31,MX,1714867021
348,atamyrat,37.8357,65.2106,19.14,78,77,4.07,TM,1714867021
349,hamilton,39.1834,-84.5333,24.35,86,75,1.54,US,1714867021
350,tabou,4.423,-7.3528,28.0,83,66,4.24,CI,1714867021
351,north bend,43.4065,-124.2243,11.26,87,100,7.72,US,1714867021
352,keningau,5.3378,116.1602,24.23,96,94,0.42,MY,1714867022
353,kandalaksha,67.162,32.4123,-5.18,91,16,1.84,RU,1714867022
354,rebola,3.7167,8.8333,24.62,94,20,1.54,GQ,1714867022
355,nar'yan-mar,67.6713,53.087,-15.59,100,95,1.97,RU,1714866846
356,misratah,32.3754,15.0925,18.32,55,0,3.39,LY,1714867022
357,letlhakane,-21.4167,25.5833,15.55,68,0,3.64,BW,1714867022
358,kuta,-8.7233,115.1723,25.0,94,20,2.24,ID,1714867022
